Taxa	NGA	?-GAL	PRO	PGUR	PHE	?-GLU	?-GLU	URE	MEL	XYL	RHA	GENA	GLU	INO	CEL	SUC	TRE	GAL	MALA	LAC	RAF
Candida africana	0,01	0,01	0,99	0,01	0,01	0,99	0,99	0,01	0,01	0,99	0,01	0,01	0,99	0,01	0,01	0,99	0,5	0,99	0,99	0,01	0,01
Candida albicans	0,99	0,01	0,99	0,01	0,5	0,99	0,99	0,01	0,01	0,99	0,01	0,01	0,99	0,01	0,01	0,99	0,99	0,99	0,99	0,01	0,01
Candida catenulata	0,99	0,01	0,99	0,01	0,5	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01
Candida dubliniensis	0,99	0,01	0,99	0,01	0,99	0,99	0,01	0,01	0,01	0,99	0,01	0,01	0,99	0,01	0,01	0,99	0,99	0,99	0,99	0,01	0,01
Candida famata1	0,01	0,99	0,99	0,01	0,5	0,99	0,99	0,01	0,01	0,99	0,5	0,5	0,99	0,01	0,5	0,99	0,99	0,99	0,99	0,01	0,99
Candida famata2	0,01	0,01	0,99	0,01	0,01	0,99	0,5	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,5	0,99	0,01	0,5	0,99	0,99	0,01
Candida famata3	0,01	0,01	0,99	0,99	0,01	0,99	0,5	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,5	0,99	0,5	0,99	0,99	0,01	0,01
Candida famata4	0,01	0,01	0,5	0,01	0,01	0,5	0,5	0,01	0,01	0,01	0,5	0,01	0,99	0,01	0,99	0,99	0,5	0,5	0,99	0,01	0,01
Candida glabrata	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01	0,99	0,01	0,01	0,01	0,01
Candida guilliermondii	0,01	0,99	0,99	0,01	0,5	0,99	0,99	0,01	0,99	0,99	0,5	0,99	0,99	0,01	0,99	0,99	0,99	0,99	0,99	0,01	0,99
Candida inconspicua	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01
Candida intermedia	0,01	0,01	0,99	0,01	0,99	0,99	0,99	0,01	0,01	0,99	0,5	0,99	0,99	0,01	0,99	0,99	0,99	0,99	0,99	0,99	0,99
Candida kefyr	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,99	0,01	0,5	0,99	0,01	0,5	0,99	0,01	0,99	0,01	0,99	0,99
Candida krusei	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01
Candida lambica	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01
Candida lipolytica	0,01	0,01	0,99	0,01	0,99	0,01	0,01	0,5	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01
Candida lusitaniae	0,01	0,01	0,99	0,01	0,99	0,99	0,99	0,01	0,01	0,99	0,99	0,99	0,99	0,01	0,99	0,99	0,99	0,5	0,99	0,01	0,01
Candida magnoliae	0,01	0,01	0,01	0,01	0,01	0,01	0,5	0,01	0,01	0,01	0,01	0,5	0,99	0,01	0,01	0,99	0,01	0,5	0,01	0,01	0,5
Candida membranifaciens	0,99	0,99	0,99	0,01	0,01	0,99	0,99	0,01	0,99	0,99	0,01	0,99	0,99	0,01	0,99	0,99	0,99	0,99	0,99	0,01	0,99
Candida norvegensis	0,01	0,01	0,99	0,01	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,5	0,99	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01
Candida norvegica	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,5	0,01	0,99	0,99	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01
Candida parapsilosis	0,01	0,01	0,99	0,01	0,5	0,99	0,01	0,01	0,01	0,99	0,01	0,01	0,99	0,01	0,01	0,99	0,99	0,99	0,99	0,01	0,01
Candida pelliculosa	0,01	0,01	0,01	0,01	0,99	0,5	0,5	0,01	0,01	0,99	0,01	0,99	0,99	0,01	0,5	0,99	0,5	0,5	0,99	0,01	0,5
Candida rugosa/pararugosa	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,5	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01
Candida tropicalis	0,01	0,01	0,01	0,01	0,99	0,99	0,99	0,01	0,01	0,99	0,01	0,01	0,99	0,01	0,5	0,99	0,99	0,99	0,99	0,01	0,01
Candida utilis	0,01	0,01	0,01	0,01	0,99	0,99	0,99	0,01	0,01	0,99	0,01	0,99	0,99	0,01	0,99	0,99	0,99	0,01	0,99	0,01	0,99
Candida valida	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,01
Cryptococcus albidus	0,01	0,01	0,99	0,01	0,99	0,5	0,99	0,01	0,01	0,99	0,5	0,99	0,99	0,5	0,5	0,99	0,99	0,5	0,5	0,5	0,5
Cryptococcus humicola Komplex	0,01	0,5	0,5	0,99	0,5	0,99	0,99	0,5	0,5	0,5	0,99	0,99	0,99	0,99	0,99	0,99	0,5	0,99	0,99	0,5	0,5
Cryptococcus neoformans	0,01	0,01	0,01	0,99	0,99	0,99	0,99	0,99	0,01	0,99	0,5	0,5	0,99	0,99	0,5	0,99	0,99	0,99	0,99	0,01	0,5
Cryptococcus terreus	0,01	0,01	0,99	0,99	0,99	0,01	0,99	0,5	0,01	0,99	0,99	0,5	0,99	0,5	0,99	0,01	0,99	0,5	0,5	0,5	0,01
Geotrichum candidum	0,5	0,01	0,01	0,01	0,99	0,01	0,5	0,01	0,01	0,99	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01
Geotrichum capitatum	0,01	0,01	0,5	0,01	0,99	0,01	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,01
Rhodotorula glutinis	0,01	0,01	0,99	0,01	0,99	0,99	0,99	0,99	0,01	0,01	0,01	0,5	0,99	0,01	0,5	0,99	0,99	0,5	0,99	0,01	0,99
Rhodotorula mucilaginosa	0,01	0,01	0,99	0,01	0,99	0,5	0,5	0,99	0,01	0,99	0,01	0,5	0,99	0,01	0,01	0,99	0,99	0,99	0,5	0,01	0,99
Saccharomyces cerevisiae TR-	0,01	0,01	0,01	0,01	0,01	0,5	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,99	0,01	0,5	0,99	0,01	0,99
Saccharomyces-cerevisiae TRE+	0,01	0,01	0,01	0,01	0,01	0,5	0,01	0,01	0,01	0,01	0,01	0,01	0,99	0,01	0,01	0,99	0,99	0,5	0,99	0,01	0,99
Trichosporon species	0,5	0,5	0,01	0,01	0,99	0,99	0,99	0,01	0,5	0,99	0,5	0,5	0,99	0,5	0,99	0,99	0,5	0,5	0,99	0,99	0,99
Trichosporon species RAF- MEL-	0,99	0,01	0,5	0,01	0,99	0,99	0,99	0,99	0,01	0,99	0,99	0,99	0,99	0,5	0,99	0,99	0,99	0,99	0,99	0,99	0,01
